Poet,Poem,Title
John Wieners,"What kind of poem would one write if one could?
What would one do with some money, if he had it, perhaps
       to travel; but to where?

To experience Wednesday twilight, immediately after
       dark: is that a promise to be kept

Naturally one can’t be sure until any of these things don’t
       come true?",au rive
John Wieners,"For our nerves
this drink, a beating
on our nerves
no shakedown our heads
but of our nerves

I wish I was a dancer
and cd. move
in feet/undo my body

swing it out it
bangs my bubbs and belly
slide my toes in pebbles so
my nerves
wd. be taken up one by
one stretched out
tight thin to threads
and I wd. be free
inside my legs. My head
not snapped by a King Porter stomp
or played like
Jelly Roll
bends.

Ah daddy I wanna be drunk many days.
On a stage in front of beautiful eyes
I wd. remove my rags,
my dress drop
to work the curtain,
to dance out softly
(over their heads) barefoot on wood
softly
toes like vaseline
knee dips as I strip out my—
I desire to be taken to the top of the Liberty Bell and blown

by winds from Sweden
softly and my toes would do it if I
were a dancer. ",With Mr. J. R. Morton
John Wieners,"I had a fellowship, but lived poorly
On slices of pizza.
Later, a career of washing lettuce;
but I have always been the same.
It’s a question of acquiring a mastery of tone
Beneath the crystal chandeliers and champagne
on a glass table top.
At the age of five I thought Scarlett O’Hara
a fictional character. It was not until
The age of forty-eight I knew she was real.
Old clothes and bedroom slippers and a scarf
Wrapped around her head
In low cost tenement housing.
She began talking about my writing
And her sex life.
I’m curt by nature and dolorous.
But I knew if I worked hard I’d eventually make it.",Charity Balls
John Wieners,"How my Mother’s embroidered apron unfolds in my life
                                                             —Arshile Gorky

As I put out my cigarette tonight in bed
    I thought of my mother,
      how she would lie

                                    in the dark
      her bed and as a boy I wd

                                              open
      the open and see the red spot in her hands.
 

      I thought of my mother tonight
                 when I put out my cigarette 
         in the dark bed,
           stomping it out

                                    and her in
             how I would open the door at night
             and see the red thing in her hands,
                 and now a man
                 I have the red thing
                   and it is the last thing
                 I do.  
                          The last thought that
                   the house is clean,
                    was her thought mine 
             tonight in her home,
                         red thought
             the two of us in the dark, 
                                           thoughts of the day,
                 the clock right, the window open,
 

                             how many lunches made,
                                                            my life so apart

      And yet in her hands.
 

        How I lie in her hand
               and her head turns
        its circle, over the day
                             in my head.

         Tonight after midnight
             my mother and the gesture
             I make with my last
             cigarette her gesture,
             how I wd help her upstairs
 

         when she got drunk on holidays
 

            in terror help her
 

            and always she’d ask for the
            last cigarette and fall asleep
            with it and I wd handle
                          the details,

            two pillows, window open, and the door
                          a crack so we could hear
                            her if she fell out
                                         of bed.

                    And she did and another cigarette
         with her gray hair knotted on the pillow
                                 when I lit it    ",Not Complete Enough
John Wieners,"I sit in Lees.     At 11:40 PM with
Jimmy the pusher. He teaches me
Ju Ju.
           Hot on the table before us
shrimp foo yong, rice and mushroom
chow yuke.
         Up the street under the wheels
of a strange car is his stash—The ritual.
We make it.     And have made it.
For months now together after midnight.
Soon I know the fuzz will inter-
rupt will arrest Jimmy and
I shall be placed on probation.
                                               The poem
does not lie to us. We lie under its
law, alive in the glamour of this hour
able to enter into the sacred places
of his dark people, who carry secrets
glassed in their eyes and hide words
          under the roofs of their mouth. ",A poem for tea heads
John Wieners,"    For Marlene Dietrich

I took love home with me,
we fixed in the night and
sank into a stinging flash.

¼ grain of love
          we had
2 men on a cot, a silk
cover and a green cloth
over the lamp.
        The music was just right.
I blew him like a symphony,
   it floated and
          he took me
down the street and
          left me here.
3 AM. No sign.

          only a moving van
          up Van Ness Avenue.

Foster’s was never like this.

I’ll walk home, up the
         same hills we
             came down.
He’ll never come back,
          there’ll be no horse
              tomorrow nor pot
tonight to smoke till dawn.

He’s gone and taken
my morphine with him
Oh Johnny. Women in
      the night moan yr. name",Act #2
John Wieners,"Knowing no other god than this:
the man who places on your mouth
a kiss. Keep no mystery
but his who whispers memory.

Though he lead you to the desert
or over hills where famine
flowers, like the locust
he devours what he loves most.

Saving none for tomorrow, or dawn
comes with empty arms, and he knows no way
to feed himself, feeding off others,
he has many, who find him, help him

you be one and dedicate your life
and misery to the upkeep of this cheapskate
you love so much no one else
seems to bridge the gap

with their common habits and rude manners,
his never were, a perfect gentleman
who leaves no trace, but lingers through the room
after he has gone, so I would follow

anywhere, over desert or mountain,
it’s all the same if he’s by my side.
The guide and wizard I would worship and obey,
my guardian teacher, who knows how to stay

alive on practically nothing in the city
until help comes, usually from a stranger or youth.
Such I am or was who knew no better
but all that I better forget now since I met you

and fell into that pit of the past with no escape.
You knock on the door, and off I go with you
into the night with not even a cent in my pockets,
without caring where or when I get back

But if once you put your hand on my shoulders
as David Rattray did last evening
that would be enough, on the seventh night
of the seventh moon, when Herd Boy

meets the Weaving Lady in heaven
and wanders forever lost in arms
until dawn when you come no more.",For Huncke
John Wieners,"Sustained by poetry, fed anew
by its fires to return from madness,
the void does not beckon as it used to.

Littered with syllables, the road does not loom
as a chasm. The hand of strangers on other
doors does not hurt, the breath of gods

does not desert, but looms large
as a dream, a prairie within our dream,
to which we return, when we need to.

Oh blessed plain, oh pointed chasm.",II Alone
John Wieners,"Today the Lamb of God arrives in the mail
above the Cross, beside the Handsome Sailor
                                               from Russia
in his turtleneck sweater. Today we make love
                                                   in our minds.
and women come to fore, winning the field.

It is Christmas, Hanukkah,—heritages we leave
                                                   behind
                       in Israel.

There is a new cross in the wind, and it is our

             minds, imagination, will

             where the discovery is made

of how to pass the night, how to share the gift

of love, our bodies, which is true
                                              illumination
                 of the present instant.

There is no other journey to make. We receive all
                 we need.
Without insight, we remain blind.
Without vision, we see only this world.",The blind see only this world / (A Christmas Card
John Wieners,"To live without the one you love
an empty dream never known
true happiness except as such youth

watching snow at window
listening to old music through morning.
Riding down that deserted street

by evening in a lonely cab
     past a blighted theatre
oh god yes, I missed the chance of my life

     when I gasped, when I got up and
        rushed out the room
          away from you.",Loss
John Wieners,"    to Fernand Léger

I died in loneliness
for no one cared for me enough
to become a woman for them
that was not my only thought
and with a woman
she wanted another one

I died in loneliness
of that I am not afraid
but that I am a clank
upon the gutter, a new guard at twilight
without a dream of adolescence
frustration plucked as strong

I died in loneliness
without friends or money
they were taken off
long ago, a melodrama
sounded out my name, the glass key of a
torch song on Father’s Day

I died in loneliness
away from the beach and speeding cars
back seat in love with Bunny
on the way to Howard Johnson’s
beyond the blue horizon
hunting for a lost popular tune.",Forthcoming
John Wieners,"             Dancing dandelions
   and buttercups in the grass
remind me of other summer
flowers, simple blossoms

roses and tiger lilies by the wall
         milk pod, sumac branches
lilacs across the road, daisies, blueberries
snaps, cut violets

             three years ago still grow in my mind
as peonies or planted geraniums, bachelor buttons
in downy fields filled with clover
lover, come again and again up fern

path upheld as memory’s perennial
against stern hard-faced officers of imprisonment
and cold regulation more painful than lover’s arms
or flowers charming but not more lasting.

No, the wild tulip shall outlast the prison wall
no matter what grows within.",Private Estate
John Wieners,"Promise you wont forget
each time we met
we kept our clothes on
despite obvious intentions
to take them off,
seldom kissed or even slept,
talked to spend desire,
worn exhausted from regret.

Continue our relationship apart
under surveillance, torture, persecuted
confinement’s theft; no must or sudden blows
when embodied spirits mingled
despite fall’s knock
we rode the great divide
of falsehood, hunger and last year",In Public
John Wieners,"He was as a god,
stepped out of eternal dream
along the boardwalk.

He looked at my girl,
a dream to herself and
that was the end of them.

They disappeared beside the sea
at Revere Beach as
I aint seen them since.

If you find anyone
answering their description
please let me know. I need them

to carry the weight of my life
The old gods are gone. What lives on
in my heart

is their flesh
like a wound,
a tomb, a bomb.",Billie
John Wieners,"by evening light, at the window, where wind blows
it’s not enough to wake with morning
as a child, the insistent urge of habit

sounds, to write a poem, to pore over one’s past
recall ultimate orders one has since doubted
in despair. Inner reality returns

of moonlight over water at Gloucester, as
fine a harbor as the Adriatic, Charles said, before the big storm
blew up to land ancient moorings, shards against sand

of memory at midnight; ah yes the dream begins
of lips pressed against yours over waves, tides,
hour-long auto rides into dawn, when time

pounds a mystery on the beach, to no death out of reach.",Reading in Bed
John Wieners,"A poor man cannot make use of himself.
He is demoralized through excessive beat exertion.
He cannot take orders even for the good of himself
Usually quite to the contrary.

He surrenders for despair although believes surrounding conditions.
He produces fiery revolution in unconscious rebellion.
He believes anything that happens
as misfortune of others.

Quickening as rain on highways, he plunges into chance
faith, duty or conscience culminating legends
of eros, beauty, will & condition
upon distance or parent organization.

He swims with the tide, taking care
he has undressed for it & surveyed its relation
to majority use, freely contributing to its content & current form,
little saving resources toward relentless tides

of time, shallow depths & eventual discharge.
He recognizes none of these fears, not their predicted fact.",Money Is Not Monogamous
John Wieners,"   For Gerrit

 

What is poetry? an image
      in the mirror;
reflection from a broadside
    pinned to the wall,
    penned by a friend,
        from where old feelings
        old meanings arise;
relief from pain; the diligence of work.

Mysterious words upon a page in adolescence;
listening to poets read. What is poetry?
       Breath, competence, success
or simply Eros.
                          “Four sides to every thing.”

The increase in electricity causes lights to flow.
   Is it only light, or heat,
      words ordered in a row.
Men or gods. I’ll never know
      or try to know
          more than the doing,
                  the flowing
rain upon the roof. That one hears,
                  and reveres
inside, away from the cold
    within the house
       where the heat

reminds one of what it is to be like
               out in the cold
   rushing over the field
     mad,

Intelligence or emotion?     language.",Music
Cristin O'Keefe Aptowicz,"The figs we ate wrapped in bacon.
The gelato we consumed greedily:
coconut milk, clove, fresh pear.
How we’d dump hot espresso on it
just to watch it melt, licking our spoons
clean. The potatoes fried in duck fat,
the salt we’d suck off our fingers,
the eggs we’d watch get beaten
’til they were a dizzying bright yellow,
how their edges crisped in the pan.
The pink salt blossom of prosciutto
we pulled apart with our hands, melted
on our eager tongues. The green herbs
with goat cheese, the aged brie paired
with a small pot of strawberry jam,
the final sour cherry we kept politely
pushing onto each other’s plate, saying,
No, you. But it’s so good. No, it’s yours.
How I finally put an end to it, plucked it
from the plate, and stuck it in my mouth.
How good it tasted: so sweet and so tart.
How good it felt: to want something and
pretend you don’t, and to get it anyway.",July
Cristin O'Keefe Aptowicz,"In my defense, my forgotten breasts. In my defense, the hair
no one brushed from my face. In my defense, my hips.

Months earlier, I remember thinking that sex was a ship retreating
on the horizon. I could do nothing but shove my feet in the sand.

I missed all the things loneliness taught me: eyes that follow you
crossing a room, hands that find their home on you. To be noticed, even.

In my defense, his hands. In my defense, his arms. In my defense,
how when we just sat listening to each other breathe, he said, This is enough.

My body was a house I had closed for the winter. It shouldn’t have been
that difficult, empty as it was. Still, I stared hard as I snapped off the lights.

My body was a specter that haunted me, appearing when I stripped
in the bathroom, when I crawled into empty beds, when it rained.

My body was abandoned construction, restoration scaffolding
that became permanent. My body’s unfinished became its finished.

So in my defense, when he touched me, the lights of my body came on.
In my defense, the windows were thrown open. In my defense, spring.",Not Doing Something Wrong Isn't the Same as Doing Something Right
Cristin O'Keefe Aptowicz,"The dog refuses to eat. I keep filling her bowl
anyway: new kibble on top of old, hoping
that it will suddenly becoming tempting.

When I write, the cat watches me from a chair.
When I look at him, he purrs loudly, leans forward
so that I might touch him. I don’t.

Now the dog refuses to come out of her cage,
no matter what I say, no matter how wide I open
the door. She knows that I am not her master. 

On the couch, the cat crawls on top of me
and loves me so hard, his claws draw blood.
I am so lonely, I do nothing to stop it.

There are lights in this house I want to turn on,
but I can’t find their switches. Outside, an engine
turns and turns in the night, but never catches.",Things That Happened During Petsitting That I Remind Myself Are Not Metaphors for My Heart
Cristin O'Keefe Aptowicz,"The boy found hanging on the golf course.
The boy with the bruises, who’d arrive
to school coatless in the middle of winter.
The man with the red face and the thick stutter
who cleaned up our vomit in grade school.
The veteran who spoke to the seventh grade,
confessed how scared he’d been and wept.
The cousin who disappeared completely
after she refused to eat anything but olives.
The mother who was a drunk. The father
who told us all he was an undercover cop
and that’s why he had the gun. The boy
who got shot. The boy who got cancer
in both legs, his angry dad, his frail sisters.
Why we never got responses to our get well
soon cards, the mute teachers continuing
their lessons plans. What happened
to that hungry black dog who’d bolt
through the school yard, the one
that refused to stay leashed.",Things We Didn't Talk About
Cristin O'Keefe Aptowicz,"Turns out things aren’t going that well.
Turns out you wake up and you’re thirty,
and the clothes you are wearing aren’t ironic
anymore. They are the clothes you wear.

One day you wake up, and look in your closet
and realize it is every terrible thing your mother
ever said to you, all cut from 100% poly-blend.

These are the days your shoes dissolve in the rain,
the days your boss asks if that’s a hole in your pants,
and you don’t even have to look down to confirm.

These are the days you pin a poem to the page
just to see it stare back at you, gasping for air.",Close Out Sale
Cristin O'Keefe Aptowicz,"ARE YOU DEAD? is the subject line of her email.
The text outlines the numerous ways she thinks
I could have died: slain by an axe-murderer, lifeless
on the side of a highway, choked to death by smoke
since I’m a city girl and likely didn’t realize you needed
to open the chimney flue before making a fire (and,
if I do happen to be alive, here’s a link to a YouTube
video on fireplace safety that I should watch). Mom
muses about the point of writing this email. If I am
already dead, which is what she suspects, I wouldn’t
be able to read it. And if I’m alive, what kind of daughter
am I not to write her own mother to let her know
that I’ve arrived at my fancy residency, safe and sound,
and then to immediately send pictures of everything,
like I promised her! If this was a crime show, she posits,
the detective might accuse her of sending this email
as a cover up for murder. How could she be the murderer,
if she wrote an email to her daughter asking if she was murdered?
her defense lawyers would argue at the trial. In fact,
now that she thinks of it, this email is the perfect alibi
for murdering me. And that is something I should
definitely keep in mind, if I don’t write her back
as soon as I have a free goddamn second to spare.",My Mother Wants to Know if I’m Dead
Cristin O'Keefe Aptowicz,"Holding your mother’s hand
while she is dying is like trying to love
the very thing that will kill you.

Loving the thing that can kill you
is like hating your fingers
because of how they can feel.

Hating your fingers
because of how they can feel
is like hating the pillowcase
because it smells like her hair.

Hating the pillowcase
is like hating the bed.

Hating the bed
is like hating things
that want to hold you
even as you sob into them.

Hating the things that want to hold you
is like sobering to the fact she will
never hold you again.

Sobering to the fact
she will never hold you again.
is like trying to keep loving
the things you know you can’t have.

Loving the things
you know you can’t have
is like saying Goodbye
and knowing you have to mean it.

Once a fortune cookie told me
that saying Goodbye is just a different
way of saying Hello.

Once I remembered reading
how Aloha is a word meaning
both hello and goodbye.

Once I remembered reading
how Aloha is also a word
which means peace.",Rabbit Hole
