Poet,Poem,Title
Christina Rossetti,"Sweetheart, since the bright earth is fair,
   And spring has come with leaves of green,
My lips shall tell thee of my love,
   Or else I shall not speak at all:

Sweetheart, since the bright earth is fair,
   And spring has come with leaves of green,
The lilies and the roses wear
   My smile and my love with them:

Sweetheart, since the bright earth is fair,
   And spring has come with leaves of green,
The lilies and the roses wear
   My smile and my love with them.",A Lily of the Valley
Christina Rossetti,"Gather ye Rosebuds while ye may
     Old Time is still a-flying:
And this same flower that smiles today
     To-morrow will be dying.

The violet's blue eyes have filled
     My heart with mournful thinking:
The lily's sweet life will waken
     The rose to blush and spring.

The rose will keep her beauty,
     The violet keep its blue;
But I shall die, like the Rose,
     With all its beauty too.",Rosebuds
Christina Rossetti,"To him who wrought her salvation,
    Though I know not where He dwells,
The night and the darkness bring
    No fear for me, my Lord;
Thou, the living Lord of life,
    Why didst thou die for me?

‘Why died I for a sinful wife?’
     She said: but the answer came
And left her face half veiled and pale
     By the snow-like falling hair,
Her mouth dropt a little aside
     Like a red rosebud that blows,
And her red lips’ sweetness he knew,
     And her mouth dropt a little low.

‘I have brought the good news to thee:
     I have brought the good news to thee:
Thou shalt be a sinner no more.
     I have brought the good news to thee.’
The silence that filled her soul
     Was a great and wonderful thing;
But the quiet voice said no more.
     And she dropt a little lower.

And he knew that her soul had gained
     Her lips that were like the red rosebud,
And the rose lips were ever kind,
     For he felt them he loved so;
And he knew that her soul had found
     The speech of the Eternal Word
That gives no answer to sin,
     And her soul dropt a little low.

‘O God, the Eternal One,
     Make known the good news to me!
For I am faint, my Lord, I am faint.
     Make known to me the good news.","To Him, Who Wrought Her Salvation"
Christina Rossetti,"A baby is a harmless thing
     And wins our hearts with one accord,
And Flower of Babies was their King,
     Jesus Christ our Lord:
Lily of lilies He
Upon His Mother’s knee,
Rose of roses, soon to be
Crowned with thorns on leafless tree.

A lamb is innocent and mild
     And merry on the soft green sod;
And Jesus Christ, the Undefiled,
     Is the Lamb of God:
Only spotless He
Upon His Mother’s knee;
White and ruddy, soon to be
Sacrificed for you and me.

Nay, lamb is not so sweet a word,
     Nor lily half so pure a name;
Another name our hearts hath stirred,
     Kindling them to flame:
“Jesus” certainly
Is music and melody:
Heart with heart in harmony
Carol we and worship we.

Jesus, I bless Thee,
     Jesus, I praise Thee;
I bless Thee, and I praise Thee,
     Jesus, Saviour, God.

Praise, Lord, praise, praise, praise,
     For Jesus, our Saviour;
Praise, praise, praise, praise, praise,
     For Jesus, God.

Oh, Jesus, I bless Thee,
     Oh, Jesus, I bless Thee;
I bless Thee, I praise Thee,
     Oh, Saviour, God.",Christmas Day
Christina Rossetti,"What though the sun is shining,
   And the day is warm and bright,
I am so lonely,
   So lonely, I wail and sigh,
The summer morn is breaking,
   And all the woods are grey.

What though the night is falling,
   And the wind is sobbing loud,
I am so lonely,
   So lonely, I wail and sigh,
The night is darkening,
   And all the forest deeps
Are still with wild things sleeping.

O singing morn, remember
   The day that we were born,
Remember, and the Mother
   That bore us, dearer far
Than the strong singing,
   And all the wild wood things
That wail and cry for bread.

Where are they now, the old Mother
   And the dear dead day?
We cannot find the Mother,
   The dead day we can see;
But the sun shines bright and warm,
   And we are living still,
And all the woods are green.

And then, the singing morn, remember
   The day that we were born,
Remember, and the Mother
   That bore us, dearer far
Than the strong singing,
   And all the wild wood things
That wail and cry for bread.",The Singing Morn
Christina Rossetti,"The fair Spring, the great Spring,
   I see thee and rejoice;
I hear thy voice in the breeze
   And in the whispering leaves.

The birds in their greenwood bowers
   Make sweet their loves to each
And sing their loves, and the flowers
   Gather green and white to each.

The stars in their heaven-blue
   Gaze down on the green leaves
And we have a heaven of blue
   To love our God in.

I love the green, and the green,
   And the green, the beauteous Spring;
The fair Spring, the great Spring,
   I see thee and rejoice.",Spring Song
Christina Rossetti,"Ivy Green—its sad green leaves
   Shed their dewy tears at even,
And the dripping boughs above
   With the hoarse winds keep not still;
Yet the white roses in their clime
   Wept for one whose spirit went
Somewhere else, nor came again.

Never mind! his spirit is
   Where the dews in dewy rain
Drop, and leaves are folded in green,
   Over some grave forlorn:
And his fair soul is at rest,
   Nor is troubled by wailing
Leaves that shed their tears for him.

Ah, this is Ivy Green,
   The sweet ivy that endears
Those who loved him when he was
   A man of this world’s cares:
Still in our hearts it makes
   Its pale green leaves to dwell
And its flowers to weep for those
   Whose eyes are shut in sleep.

But the heart that loved him well
   Will live in the heart of God,
And all his beauty with it,
   Hearts that break and die for him.

Them that are in love with him
   Weep not for him who is
Under the veil that veils
   The form that we knew so:
But the flower of him will grow
   In the hands of those who mourn,
And the dew of him will drop
   On the grave where he is gone.

When I am dead, my dearest,
   Sing no sad songs for me;
Plant thou no roses at my head,
   Nor shady cypress tree:
Be the green grass above me
   With showers and dewdrops wet;
And if thou wilt, remember,
   And if thou wilt, forget.",Ivy Green
Christina Rossetti,"A sick child is in the house:
     The mother is in anguish,
     The father and the nurse are
     Silent and heavy-hearted;
     The Christ is in the cradle,
     Jesus, He for whom
     The children pray.

Christ was born for children,
     Born that they might be
     Merry and wise,
     The little children
     Who know not what it is
     To be sad or sorry.",A Sick Child
Christina Rossetti,"In the valley of Death
     I shall fear no evil;
For thou art with me
     Thy rod and thy staff, O Lord,
     Shall comfort me.

In the valley of Death
     I shall fear no evil;
For thou art with me
     Thy rod and thy staff, O Lord,
     Shall comfort me.

In the midst of life we are in death:
     Of whom may we seek for succour,
     But of thee, O Lord, alone;
     Who for our sins art justly angry,
     Who art holy and mighty,
     To save us from our misery?",In the Valley
Christina Rossetti,"At a far lonely place,
      Far from the eyes of men,
Where the winter’s coldest wind
      Howls and moans and sings,
Where the winter’s wildest storm
      Rages and chills and kills—
At a lonely place like this
      That hath no face nor name,

Lonely and deep is the waste
      Where the ravens cry:
Where the wintry starlight waits
      For the fates to die:

Weep thou not, for my lute will wake
      When I am dead and gone;
Thy voice will lull me as it should,
      As mine own lulls me now.

Lute-lady, lullaby,
I will remember thee,
Thy voice and thy blue eyes,
The sweetest blue eyes that
In the world’s broad daylight
Have shone down on my head.

Sorrow, I am here alone,
      The world knows not my name,
And I know not if I have
      A grave or a name.

Ah, weep not for me, I pray,
      But weep for the lute-lady,
Whose voice will soothe me away
      When I am dead and gone.

Lonely and deep is the waste,
      Where the ravens cry:
Thou art dead, but thy voice
      Will live for ever and aye.",Grave
E. E. Cummings,"35

A parting in spring,
the earth seems held
in the soft silver hand
of the dark, the ground
whereon the wild grass
curls, the white flower
of the lily is low.

The leaves turn green,
the grasses are quick
with a gold, with a white
that is no color but
a sound of spring.",A Parting in Spring
E. E. Cummings,"Because i am lewis, because i am
the unknown you, the unknown you
you're the one and only you.","""Because i am lewis"""
E. E. Cummings,"Great carnal mountains crouching in the cloud
That marrieth the young earth with a ring,
Yet still its thoughts builds heavenward, whence spring
Wee villages of vapor, sunset-proud.—
And to the meanest door hastes one pure-browed
White-fingered star, a little, childish thing,
The busy needle of her light to bring,
And stitch, and stitch, upon the dead day’s shroud.
Poises the sun upon his west, a spark
Superlative,—and dives beneath the world;
From the day’s fillets Night shakes out her locks;
List! One pure trembling drop of cadence purled—
“Summer!”—a meek thrush whispers to the dark.
Hark! the cold ripple sneering on the rocks!",The Body
E. E. Cummings,"lily’s

we dance along a river
a river of lakes
trees bending in the wind
the sun, the moon and stars
glitter through the leaves
the waters of the deep
unfathomable
the sorrows
the secrets",lily's
E. E. Cummings,"""It is amazing how quickly the world,
and all that's in it, vanishes.
One forgets.
Forgets.
You forget the world.
The world forgets.
You forget your own life,
your own self.
And that is the first and the most
terrible thing, the only thing that is real.""",Celestial Photographs
E. E. Cummings,"one day i stood before a mirror
looking at my face and all
the fear and the beauty in me
the tears i saw, the beauty in me",one day
E. E. Cummings,"36

The Child on the Bridge

36

When he is dead,
Weary of the day,
I shall be less than he.
A child on the bridge
Behind me and before
Myself a half-grown tree,
Weary of the day,
Myself a tree a tree
The sky and the river
And the hands of the other
Children, the child
And the sky and the river

I shall be less than he,
A child on the bridge
A tree a tree a tree
Weary of the day,
Myself a tree a tree
And the sky and the river
And the hands of the other
Children, the child
And the sky and the river

Weary of the day,
Myself a tree a tree
The sky and the river
And the hands of the other
Children, the child",The Child on the Bridge
E. E. Cummings,"the stars are in your hair
and i am in love with you
with all your length and all your breadth
i am in love with you

the stars are in your hair
your body is the garden of the world
i am in love with you
with all your length and all your breadth
i am in love with you

with all your length and all your breadth
with all your length and all your breadth
with all your length and all your breadth",MY FRIEND
E. E. Cummings,"Great carnal mountains crouching in the cloud
That marrieth the young earth with a ring,
Yet still its thoughts builds heavenward, whence spring
Wee villages of vapor, sunset-proud.
Poises the sun upon his west, a spark
Superlative,—and dives beneath the world;
From the day’s fillets Night shakes out her locks;
List! One pure trembling drop of cadence purled—
“Summer!”—a meek thrush whispers to the dark.
Hark! the cold ripple sneering on the rocks!",Red Poppy
E. E. Cummings,"Erect, and proud, and breathing slow,
Its motions are a song.
The air, the sun, the deep green sky,
The vernal green earth and the trees,
The bloom-forests and the endless sky,
The air, the sun, the deep green sky,
The vernal green earth and the trees,
The bloom-forests and the endless sky,
What is their name?
What is their name?",Beauty is a Cow
Emily Dickinson,"The absolute is its own measure—
I know it, and I know not, 
I have never been
The same from hour to hour,
But one great silence
Of the Beautiful and Good -
And if the silent Hounds
Should turn upon me,
I have only to reply
To myself in thunders

That is not my real Music—
Nor ever was my choice—
I could not praise my voice
If I did not think
It was a little better
Than my sense of loss,",The absolute is its own measure—
Emily Dickinson,"I am not now in Arithmetics
But I am in Morals.

I cannot count my hours
But I must count my days,
I cannot count my nights
But I must count my nights",I am not now in Arithmetics
Emily Dickinson,"Here is a maiden's heart – 
That is not wise and not gay - 
But deep as Ocean is – 
And old as Ocean's Way - 

And the Maiden is not the less
For the heart of her own - 
And the heart of her own is in
Her life's ocean-play - 

Here is a maiden's heart
That is not wise and not gay
But deep as Ocean is
And old as Ocean's Way

Here is a maiden's heart
That is not wise and not gay
But deep as Ocean is
And old as Ocean's Way",Here is a maiden's heart (560)
