,0_62,0_78,62_78,78_100
h1,0.132,0.1066666666666667,0.09200000000000003,0.10133333333333336
h0_single,0.13600000000000007,0.09600000000000003,0.09866666666666667,0.10666666666666667
ensb_single,0.13200000000000006,0.11600000000000002,0.08666666666666667,0.10400000000000004
h0_complete,0.13200000000000006,0.09466666666666669,0.12000000000000005,0.11866666666666671
ensb_complete,0.11866666666666671,0.10000000000000003,0.10533333333333336,0.10933333333333334
h0_average,0.13200000000000006,0.12800000000000003,0.11733333333333337,0.10533333333333336
ensb_average,0.1333333333333334,0.12800000000000003,0.08266666666666667,0.10533333333333336
h0_ward,0.16666666666666666,0.11733333333333335,0.10533333333333333,0.11466666666666671
ensb_ward,0.164,0.11466666666666671,0.08666666666666667,0.11333333333333334
full_ensb,0.14666666666666667,0.1026666666666667,0.11200000000000004,0.11733333333333337
