,0_62,0_78,62_78,78_100
h1,0.02039607805437114,0.03069563848859024,0.009797958971132715,0.004988876515698587
h0_single,0.008000000000000009,0.01665332799572906,0.0114697670227235,0.009428090415820628
ensb_single,0.01222020185321558,0.0209125161884775,0.009428090415820635,0.007999999999999997
h0_complete,0.01222020185321558,0.018571184369578827,5.551115123125783e-17,0.004988876515698585
ensb_complete,0.008844332774281064,0.02190890230020664,0.008844332774281061,0.009977753031397172
h0_average,0.01222020185321558,0.022861904265976334,0.006798692684790377,0.008844332774281061
ensb_average,0.009428090415820642,0.025086516962969044,0.006798692684790381,0.008844332774281061
h0_ward,0.02149935399546279,0.033359989341858146,0.008844332774281063,0.008844332774281063
ensb_ward,0.01665332799572906,0.026799668322989044,0.009428090415820635,0.009428090415820626
full_ensb,0.009428090415820628,0.0392371705854991,0.012220201853215571,0.006798692684790377
