,0_62,0_78,62_78,78_100
h1,0.10000000000000002,0.07733333333333331,0.10266666666666667,0.1106666666666667
h0_single,0.10000000000000002,0.11333333333333337,0.08533333333333333,0.10800000000000004
ensb_single,0.10000000000000002,0.09600000000000003,0.10133333333333336,0.10533333333333336
h0_complete,0.12000000000000005,0.08000000000000002,0.09333333333333335,0.10533333333333336
ensb_complete,0.11200000000000004,0.08933333333333335,0.10533333333333333,0.10133333333333333
h0_average,0.10000000000000002,0.1906666666666667,0.08,0.10000000000000002
ensb_average,0.10000000000000002,0.11600000000000003,0.10000000000000002,0.10000000000000002
h0_ward,0.10133333333333336,0.10533333333333336,0.10000000000000002,0.10800000000000004
ensb_ward,0.10000000000000002,0.09200000000000003,0.1066666666666667,0.12266666666666672
full_ensb,0.10400000000000004,0.0986666666666667,0.10133333333333333,0.11466666666666671
