,0_62,0_78,62_78,78_100
h1,1.3877787807814457e-17,0.01436043948569201,0.009977753031397172,0.009977753031397172
h0_single,1.3877787807814457e-17,0.022705848487901872,0.00884433277428107,0.009797958971132708
ensb_single,1.3877787807814457e-17,0.02444040370643115,0.004988876515698587,0.008844332774281061
h0_complete,5.551115123125783e-17,0.01932183566158592,0.009428090415820635,0.008844332774281061
ensb_complete,0.009797958971132706,0.021746008573733457,0.008844332774281063,0.013597385369580757
h0_average,1.3877787807814457e-17,0.043122564343456606,0.0,1.3877787807814457e-17
ensb_average,1.3877787807814457e-17,0.03808761828556187,1.3877787807814457e-17,1.3877787807814457e-17
h0_ward,0.004988876515698587,0.030521395046025593,0.014605934866804426,0.009797958971132706
ensb_ward,1.3877787807814457e-17,0.024000000000000004,0.013984117975602017,0.00997775303139718
full_ensb,0.007999999999999997,0.017074997966487593,0.011469767022723499,0.013597385369580758
