,0_62,0_78,62_78,78_100
h1,0.006798692684790374,0.009977753031397172,0.01768866554856213,0.011469767022723511
h0_single,1.3877787807814457e-17,0.025298221281347035,0.011469767022723508,0.01236482466066094
ensb_single,1.3877787807814457e-17,0.03155242550986462,0.01611072796479276,0.008844332774281073
h0_complete,0.004988876515698587,0.012649110640673518,0.01665332799572906,0.0114697670227235
ensb_complete,1.3877787807814457e-17,0.031155523854794462,0.013984117975602018,0.006798692684790384
h0_average,0.004988876515698587,0.015434449203720299,0.017587874611030563,0.008844332774281073
ensb_average,0.004988876515698587,0.03238655413730965,0.016000000000000004,0.004988876515698595
h0_ward,1.3877787807814457e-17,0.017074997966487596,0.008844332774281064,0.004988876515698586
ensb_ward,0.004988876515698585,0.0405736641458745,0.012364824660660934,0.014360439485692014
full_ensb,0.006798692684790378,0.02508651696296904,0.004988876515698587,5.551115123125783e-17
